,heur,n_filmes,n_categorias,tempo_ex,n_assistidos,tempo_tela,media
0,aleat,60,9,0.0045027550077065825,7,23,3.28571
0,aleat,60,10,0.004542579990811646,8,23,2.875
0,aleat,60,11,0.004637108999304473,6,21,3.5
0,aleat,60,12,0.004517152032349259,9,24,2.66667
0,aleat,60,13,0.004278730018995702,7,22,3.14286
0,aleat,60,14,0.004129233013372868,6,23,3.83333
0,aleat,60,15,0.004674586991313845,6,19,3.16667
0,aleat,60,16,0.004500764014665037,7,22,3.14286
0,aleat,60,17,0.004193764994852245,6,20,3.33333
0,aleat,60,18,0.004267551994416863,7,22,3.14286
0,aleat,60,19,0.004368495021481067,7,20,2.85714
0,aleat,60,20,0.004249799996614456,7,21,3.0
0,aleat,65,1,0.0042619300074875355,1,1,1.0
0,aleat,65,2,0.004406079999171197,3,12,4.0
0,aleat,65,3,0.00426811003126204,6,19,3.16667
0,aleat,65,4,0.004282023990526795,7,22,3.14286
0,aleat,65,5,0.004211222054436803,8,21,2.625
0,aleat,65,6,0.004197237023618072,6,22,3.66667
0,aleat,65,7,0.004118404001928866,7,22,3.14286
0,aleat,65,8,0.004353424999862909,6,21,3.5
0,aleat,65,9,0.004380658967420459,6,20,3.33333
0,aleat,65,10,0.004256150976289064,6,24,4.0
0,aleat,65,11,0.004394477000460029,8,18,2.25
0,aleat,65,12,0.004447123967111111,7,20,2.85714
0,aleat,65,13,0.004403405007906258,8,20,2.5
0,aleat,65,14,0.004398558987304568,6,20,3.33333
0,aleat,65,15,0.0043670019949786365,8,23,2.875
0,aleat,65,16,0.004552997997961938,6,24,4.0
0,aleat,65,17,0.00435126997763291,7,22,3.14286
0,aleat,65,18,0.0044671870418824255,7,24,3.42857
0,aleat,65,19,0.004425878985784948,6,19,3.16667
0,aleat,65,20,0.004377780016511679,8,24,3.0
0,aleat,70,1,0.00402509601553902,1,2,2.0
0,aleat,70,2,0.004215109045617282,3,9,3.0
0,aleat,70,3,0.004395166004542261,5,20,4.0
0,aleat,70,4,0.004212632949929684,5,20,4.0
0,aleat,70,5,0.004556446976494044,8,21,2.625
0,aleat,70,6,0.007370983948931098,5,20,4.0
0,aleat,70,7,0.004310952965170145,5,20,4.0
0,aleat,70,8,0.004597787046805024,6,19,3.16667
0,aleat,70,9,0.004406014981213957,7,24,3.42857
0,aleat,70,10,0.004428602987900376,5,17,3.4
0,aleat,70,11,0.004391060036141425,6,21,3.5
0,aleat,70,12,0.004577914020046592,7,25,3.57143
0,aleat,70,13,0.00448610499734059,8,21,2.625
0,aleat,70,14,0.0046826780308038,7,27,3.85714
0,aleat,70,15,0.004551465041004121,7,24,3.42857
0,aleat,70,16,0.004523824027273804,6,21,3.5
0,aleat,70,17,0.00438741099787876,6,21,3.5
0,aleat,70,18,0.004625492030754685,8,25,3.125
0,aleat,70,19,0.004621743981260806,6,20,3.33333
0,aleat,70,20,0.004514764994382858,8,24,3.0
0,aleat,75,1,0.0043096019653603435,1,2,2.0
0,aleat,75,2,0.004388839995954186,4,12,3.0
0,aleat,75,3,0.004391268012113869,7,23,3.28571
0,aleat,75,4,0.0045325750252231956,6,21,3.5
0,aleat,75,5,0.004547048010863364,6,24,4.0
0,aleat,75,6,0.004438283969648182,7,24,3.42857
0,aleat,75,7,0.0052036900306120515,8,22,2.75
0,aleat,75,8,0.004833454033359885,8,27,3.375
0,aleat,75,9,0.00455713301198557,6,22,3.66667
0,aleat,75,10,0.004222930991090834,6,20,3.33333
0,aleat,75,11,0.004677538992837071,8,22,2.75
0,aleat,75,12,0.005931998020969331,7,21,3.0
0,aleat,75,13,0.004776156973093748,5,20,4.0
0,aleat,75,14,0.0045470609911717474,5,21,4.2
0,aleat,75,15,0.004451235989108682,6,20,3.33333
0,aleat,75,16,0.004484609991777688,7,22,3.14286
0,aleat,75,17,0.0044205120066180825,7,20,2.85714
0,aleat,75,18,0.004428637970704585,5,21,4.2
0,aleat,75,19,0.0047587999724783,6,19,3.16667
0,aleat,75,20,0.004527794022578746,7,24,3.42857
0,aleat,80,1,0.004397273994982243,1,2,2.0
0,aleat,80,2,0.004167150997091085,2,6,3.0
0,aleat,80,3,0.004536824009846896,6,23,3.83333
0,aleat,80,4,0.0044387379894033074,5,18,3.6
0,aleat,80,5,0.00448430102551356,8,21,2.625
0,aleat,80,6,0.00421670702053234,6,23,3.83333
0,aleat,80,7,0.004234253021422774,7,23,3.28571
0,aleat,80,8,0.004391490016132593,7,22,3.14286
0,aleat,80,9,0.004253374005202204,6,19,3.16667
0,aleat,80,10,0.004350399016402662,5,20,4.0
0,aleat,80,11,0.004177711962256581,7,24,3.42857
0,aleat,80,12,0.004458907002117485,6,20,3.33333
0,aleat,80,13,0.004412090987898409,6,19,3.16667
0,aleat,80,14,0.004203298012726009,6,19,3.16667
0,aleat,80,15,0.004421435005497187,6,18,3.0
0,aleat,80,16,0.004342147964052856,7,26,3.71429
0,aleat,80,17,0.004570425022393465,8,26,3.25
0,aleat,80,18,0.004533616011030972,6,22,3.66667
0,aleat,80,19,0.004626885987818241,6,21,3.5
0,aleat,80,20,0.004478872986510396,6,22,3.66667
0,aleat,85,1,0.004344518994912505,1,2,2.0
0,aleat,85,2,0.004382428014650941,3,11,3.66667
0,aleat,85,3,0.004305148031562567,6,20,3.33333
0,aleat,85,4,0.004588079988025129,8,24,3.0
0,aleat,85,5,0.004476727975998074,9,25,2.77778
0,aleat,85,6,0.004636091995052993,7,22,3.14286
0,aleat,85,7,0.004408700042404234,7,19,2.71429
0,aleat,85,8,0.004568503994960338,8,19,2.375
0,aleat,85,9,0.00504894700134173,6,21,3.5
0,aleat,85,10,0.005976048007141799,6,19,3.16667
0,aleat,85,11,0.005043518031015992,6,20,3.33333
0,aleat,85,12,0.004512104031164199,5,18,3.6
0,aleat,85,13,0.00438016199041158,7,25,3.57143
0,aleat,85,14,0.004653173964470625,7,22,3.14286
0,aleat,85,15,0.004506094031967223,8,22,2.75
0,aleat,85,16,0.004611250013113022,7,25,3.57143
0,aleat,85,17,0.004729439038783312,7,24,3.42857
0,aleat,85,18,0.004609623982105404,9,25,2.77778
0,aleat,85,19,0.004488687962293625,6,23,3.83333
0,aleat,85,20,0.004570818040519953,7,18,2.57143
0,aleat,90,1,0.004498144029639661,1,4,4.0
0,aleat,90,2,0.004395498021040112,2,6,3.0
0,aleat,90,3,0.004408097011037171,7,22,3.14286
0,aleat,90,4,0.004358847043476999,7,23,3.28571
0,aleat,90,5,0.004414568014908582,6,19,3.16667
0,aleat,90,6,0.004587910952977836,6,21,3.5
0,aleat,90,7,0.004923507978674024,8,23,2.875
0,aleat,90,8,0.004511811013799161,6,20,3.33333
0,aleat,90,9,0.004260019981302321,7,20,2.85714
0,aleat,90,10,0.004597619001287967,7,20,2.85714
0,aleat,90,11,0.004562083980999887,7,23,3.28571
0,aleat,90,12,0.004362809006124735,6,21,3.5
0,aleat,90,13,0.004336802987381816,7,20,2.85714
0,aleat,90,14,0.004732077999506146,7,20,2.85714
0,aleat,90,15,0.004660492006223649,6,20,3.33333
0,aleat,90,16,0.00479620200349018,8,25,3.125
0,aleat,90,17,0.004557089996524155,6,22,3.66667
0,aleat,90,18,0.004615770012605935,6,21,3.5
0,aleat,90,19,0.0045325650135055184,6,20,3.33333
0,aleat,90,20,0.004601972992531955,6,22,3.66667
0,aleat,95,1,0.004405480984132737,1,3,3.0
0,aleat,95,2,0.004502010997384787,3,12,4.0
0,aleat,95,3,0.004475193039979786,5,14,2.8
0,aleat,95,4,0.004519568989053369,6,24,4.0
0,aleat,95,5,0.004447104991413653,7,22,3.14286
0,aleat,95,6,0.004480820964090526,7,20,2.85714
0,aleat,95,7,0.004466996993869543,8,20,2.5
0,aleat,95,8,0.004611613985616714,7,23,3.28571
0,aleat,95,9,0.004481885000132024,6,21,3.5
0,aleat,95,10,0.0047051889705471694,7,24,3.42857
0,aleat,95,11,0.004498611961025745,6,21,3.5
0,aleat,95,12,0.004505989025346935,7,22,3.14286
0,aleat,95,13,0.004864492977503687,7,21,3.0
0,aleat,95,14,0.005033052992075682,7,20,2.85714
0,aleat,95,15,0.0065156599739566445,7,23,3.28571
0,aleat,95,16,0.004987003048881888,6,23,3.83333
0,aleat,95,17,0.004862787027377635,8,26,3.25
0,aleat,95,18,0.004846189985983074,6,21,3.5
0,aleat,95,19,0.004504154960159212,8,25,3.125
0,aleat,95,20,0.004422319994773716,7,21,3.0
0,aleat,100,1,0.004566160961985588,1,4,4.0
0,aleat,100,2,0.004289215023163706,2,5,2.5
0,aleat,100,3,0.0044622099958360195,7,23,3.28571
0,aleat,100,4,0.00439511303557083,8,26,3.25
0,aleat,100,5,0.004409287997987121,7,23,3.28571
0,aleat,100,6,0.0048106019967235625,7,22,3.14286
0,aleat,100,7,0.004887070041149855,6,20,3.33333
0,aleat,100,8,0.004772252985276282,7,28,4.0
0,aleat,100,9,0.004587317002005875,7,19,2.71429
0,aleat,100,10,0.004531676997430623,7,24,3.42857
0,aleat,100,11,0.004446459002792835,7,19,2.71429
0,aleat,100,12,0.004428874002769589,5,23,4.6
